src_ip,dst_ip,src_port,dst_port,protocol,packet_count,total_bytes,mean_packet_size,min_packet_size,max_packet_size,flow_duration,mean_iat,min_iat,max_iat,start_time,label,true_label,ssl_label
40.126.18.32,192.168.1.4,443,11280,TCP,1,54,54.0,54,54,0.0,0.0,0.0,0.0,1779690734.9000561,meet,meet,-1
192.168.1.6,224.0.0.251,5353,5353,UDP,31,4931,159.06451612903226,87,200,193.536917,6.451231,7.9e-05,36.454279,1779775706.7123806,Download,Download,-1
192.168.1.6,239.255.255.250,58477,1900,UDP,1,167,167.0,167,167,0.0,0.0,0.0,0.0,1779688297.035085,YouTube,YouTube,-1
192.168.1.4,192.168.1.1,12130,53,TCP,3,198,66.0,66,66,3.006357,1.503178,1.00282,2.003537,1779776407.661239,Gaming,Gaming,-1
51.79.152.81,192.168.1.4,443,12574,TCP,18,5408,300.44444444444446,54,2554,1.077207,0.063365,0.0,0.278023,1779776486.2707684,Gaming,Gaming,-1
192.168.1.4,151.101.1.44,7364,443,TCP,17,3365,197.94117647058823,54,1304,270.590454,16.911903,0.0,45.109218,1779695818.299715,Browsing,Browsing,-1
192.168.1.4,192.168.1.1,52674,53,UDP,1,74,74.0,74,74,0.0,0.0,0.0,0.0,1779776344.0722742,Gaming,Gaming,-1
192.168.1.4,224.0.0.252,55877,5355,UDP,2,146,73.0,73,73,0.413021,0.413021,0.413021,0.413021,1779776256.5916567,Gaming,Gaming,-1
192.168.1.4,65.21.238.88,4142,443,TCP,21,9675,460.7142857142857,54,1304,5.510672,0.275534,0.0,1.860159,1779776451.18015,Gaming,Gaming,-1
192.168.1.4,34.98.72.95,57850,443,UDP,4,2862,715.5,73,1292,0.234107,0.078036,3.6e-05,0.146772,1779695894.2692995,Browsing,Browsing,-1
103.43.90.117,192.168.1.4,443,12864,TCP,29,4866,167.79310344827587,54,590,24.648766,0.880313,0.0,9.840138,1779695895.2344165,Browsing,Browsing,-1
192.168.1.4,35.206.11.92,3741,443,TCP,7,2118,302.57142857142856,54,1304,30.515634,5.085939,0.0,30.004029,1779775819.9351802,Download,Download,-1
192.168.1.4,20.189.173.26,8911,443,TCP,3,162,54.0,54,54,0.953947,0.476973,0.205547,0.7484,1779776264.8734708,Gaming,Gaming,-1
18.141.85.40,192.168.1.4,443,1577,TCP,17,9032,531.2941176470588,54,2554,60.44789,3.777993,0.0,59.874538,1779776215.7990334,Gaming,Gaming,-1
192.168.1.4,192.168.1.1,51530,53,UDP,1,71,71.0,71,71,0.0,0.0,0.0,0.0,1779776217.7228422,Gaming,Gaming,-1
192.168.1.4,131.153.206.101,9249,443,TCP,21,8892,423.42857142857144,54,1304,13.343166,0.667158,0.0,12.281546,1779776341.047948,Gaming,Gaming,-1
142.250.82.215,192.168.1.4,3478,63120,UDP,4,992,248.0,106,674,0.468542,0.156181,0.038115,0.348247,1779691048.6530797,meet,meet,-1
192.168.1.4,224.0.0.252,62620,5355,UDP,2,146,73.0,73,73,0.415168,0.415168,0.415168,0.415168,1779776326.2061322,Gaming,Gaming,-1
192.168.1.1,192.168.1.4,53,64517,UDP,1,207,207.0,207,207,0.0,0.0,0.0,0.0,1779776345.2966495,Gaming,Gaming,-1
192.168.1.1,192.168.1.4,53,58317,UDP,1,126,126.0,126,126,0.0,0.0,0.0,0.0,1779688230.1206875,YouTube,YouTube,-1
192.168.1.4,172.240.35.228,3226,443,TCP,12,3620,301.6666666666667,54,1304,11.706508,1.064228,0.0,9.980581,1779695824.8120189,Browsing,Browsing,-1
192.168.1.1,192.168.1.4,53,61970,UDP,1,107,107.0,107,107,0.0,0.0,0.0,0.0,1779776425.635123,Gaming,Gaming,-1
192.168.1.4,23.208.65.107,5948,443,TCP,13,1662,127.84615384615384,54,623,107.846939,8.987245,2.7e-05,107.21713,1779775725.282943,Download,Download,-1
192.168.1.4,192.168.1.1,57597,53,UDP,1,82,82.0,82,82,0.0,0.0,0.0,0.0,1779695926.842916,Browsing,Browsing,-1
192.168.1.4,20.42.179.192,8244,443,TCP,16,6057,378.5625,54,1304,1.846256,0.123084,0.0,0.31628,1779775848.9945288,Download,Download,-1
192.168.1.4,192.168.1.1,63691,53,UDP,1,76,76.0,76,76,0.0,0.0,0.0,0.0,1779776217.706725,Gaming,Gaming,-1
69.173.158.64,192.168.1.4,443,1616,TCP,11,3765,342.27272727272725,54,1304,65.525063,6.552506,0.0,45.222623,1779695821.0586658,Browsing,Browsing,-1
192.168.1.4,34.144.222.236,62825,443,UDP,3,3876,1292.0,1292,1292,0.618578,0.309289,0.307743,0.310835,1779776373.594909,Gaming,Gaming,-1
192.168.1.4,192.168.1.1,62713,53,UDP,1,73,73.0,73,73,0.0,0.0,0.0,0.0,1779776333.3283846,Gaming,Gaming,-1
139.5.86.52,192.168.1.4,443,1859,TCP,14,9031,645.0714285714286,54,2554,1.512775,0.116367,0.0,0.974364,1779695834.7901616,Browsing,Browsing,-1
192.168.1.1,192.168.1.4,53,53737,UDP,1,219,219.0,219,219,0.0,0.0,0.0,0.0,1779776468.612666,Gaming,Gaming,-1
192.168.1.4,34.160.55.127,62853,443,UDP,10,4816,481.6,71,1292,8.068405,0.896489,6.7e-05,6.149875,1779776425.6372228,Gaming,Gaming,-1
192.168.1.4,192.168.1.1,53538,53,UDP,1,80,80.0,80,80,0.0,0.0,0.0,0.0,1779695816.3969529,Browsing,Browsing,-1
69.173.158.65,192.168.1.4,443,7872,TCP,1,66,66.0,66,66,0.0,0.0,0.0,0.0,1779776480.5717814,Gaming,Gaming,-1
192.168.1.4,51.79.152.81,11398,443,TCP,23,5872,255.30434782608697,54,1304,31.72975,1.442261,0.0,29.974934,1779776217.017511,Gaming,Gaming,-1
192.168.1.1,192.168.1.4,53,50601,UDP,1,122,122.0,122,122,0.0,0.0,0.0,0.0,1779695820.1252751,Browsing,Browsing,-1
192.168.1.4,192.168.1.1,59693,53,UDP,1,82,82.0,82,82,0.0,0.0,0.0,0.0,1779776539.8516023,Gaming,Gaming,-1
192.168.1.4,3.138.255.217,14004,443,TCP,12,2605,217.08333333333334,54,1304,61.013732,5.546703,0.0,45.014933,1779695836.1641145,Browsing,Browsing,-1
192.168.1.4,34.111.170.203,5861,443,TCP,17,3464,203.76470588235293,54,1304,271.188122,16.949258,0.0,45.124358,1779695821.7713623,Browsing,Browsing,-1
108.158.251.24,192.168.1.4,443,4078,TCP,20,7962,398.1,54,2554,240.285266,12.646593,0.0,45.114663,1779695821.4349706,Browsing,Browsing,-1
192.168.1.4,192.168.1.1,52735,53,UDP,1,80,80.0,80,80,0.0,0.0,0.0,0.0,1779776333.3276558,Gaming,Gaming,-1
192.168.1.1,192.168.1.4,53,51474,UDP,1,104,104.0,104,104,0.0,0.0,0.0,0.0,1779776217.8214705,Gaming,Gaming,-1
23.208.65.25,192.168.1.4,443,9299,TCP,11,7096,645.0909090909091,54,1304,0.15224,0.015224,1e-06,0.052082,1779695810.0807095,Browsing,Browsing,-1
192.168.1.4,23.215.60.57,7930,443,TCP,16,10288,643.0,54,1304,180.420214,12.028014,0.0,45.091368,1779695896.6216354,Browsing,Browsing,-1
192.168.1.4,192.168.1.1,11056,53,TCP,2,132,66.0,66,66,6.003787,6.003787,6.003787,6.003787,1779776415.3660254,Gaming,Gaming,-1
192.168.1.1,192.168.1.4,53,50742,UDP,1,326,326.0,326,326,0.0,0.0,0.0,0.0,1779695820.0200381,Browsing,Browsing,-1
192.168.1.4,192.168.1.1,63779,53,UDP,1,80,80.0,80,80,0.0,0.0,0.0,0.0,1779776334.9893343,Gaming,Gaming,-1
43.206.233.6,192.168.1.4,443,14916,TCP,12,4222,351.8333333333333,54,1304,10.563311,0.960301,0.0,9.776936,1779695820.310996,Browsing,Browsing,-1
192.168.1.4,139.144.202.26,1271,443,TCP,11,2521,229.1818181818182,54,1304,4.947243,0.494724,0.0,3.645193,1779776218.356766,Gaming,Gaming,-1
104.18.143.9,192.168.1.4,443,53105,UDP,1151,1350178,1173.0477845351868,66,1242,23.533591,0.020464,0.0,1.771742,1779776462.737462,Gaming,Gaming,-1
192.168.1.4,192.168.1.1,60433,53,UDP,1,76,76.0,76,76,0.0,0.0,0.0,0.0,1779776307.9031348,Gaming,Gaming,-1
192.168.1.4,69.173.158.64,13912,443,TCP,14,3677,262.64285714285717,54,1304,67.583808,5.198754,0.0,66.478511,1779776218.946809,Gaming,Gaming,-1
192.168.1.4,23.106.127.169,3125,443,TCP,19,5698,299.89473684210526,54,1304,10.579428,0.587746,0.0,10.00639,1779695874.5489736,Browsing,Browsing,-1
3.208.49.63,192.168.1.4,443,8229,TCP,11,726,66.0,54,78,380.004518,38.000452,1e-06,45.431313,1779698083.308326,Idle,Idle,-1
192.168.1.4,52.68.236.96,5180,443,TCP,22,6145,279.3181818181818,54,1304,61.094681,2.909271,0.0,45.008208,1779695820.7361822,Browsing,Browsing,-1
98.82.158.241,192.168.1.4,443,1091,TCP,21,11451,545.2857142857143,54,1304,68.021636,3.401082,0.0,45.347722,1779695818.3305445,Browsing,Browsing,-1
192.168.1.4,69.173.158.65,13102,443,TCP,1,66,66.0,66,66,0.0,0.0,0.0,0.0,1779776486.7184117,Gaming,Gaming,-1
192.168.1.4,192.168.1.1,63148,53,UDP,2,171,85.5,83,88,97.279601,97.279601,97.279601,97.279601,1779776333.3266485,Gaming,Gaming,-1
192.168.1.6,239.255.255.250,37336,1900,UDP,1,167,167.0,167,167,0.0,0.0,0.0,0.0,1779695841.180733,Browsing,Browsing,-1
192.168.1.4,192.168.1.1,9774,53,TCP,3,198,66.0,66,66,3.003772,1.501886,1.003534,2.000238,1779695804.318395,Browsing,Browsing,-1
192.168.1.4,192.168.1.1,50601,53,UDP,1,85,85.0,85,85,0.0,0.0,0.0,0.0,1779776343.6704545,Gaming,Gaming,-1
192.168.1.4,44.205.105.56,13765,443,TCP,13,2573,197.92307692307693,54,1304,15.299806,1.274984,0.0,5.367664,1779776218.0057695,Gaming,Gaming,-1
172.240.35.228,192.168.1.4,443,4554,TCP,10,3060,306.0,54,1304,60.955173,6.772797,3e-06,45.337734,1779695825.4074945,Browsing,Browsing,-1
192.168.1.4,54.255.134.76,7068,443,TCP,11,3408,309.8181818181818,54,1304,3.378973,0.337897,0.0,2.999522,1779695861.9483123,Browsing,Browsing,-1
192.168.1.1,192.168.1.4,53,57132,UDP,1,193,193.0,193,193,0.0,0.0,0.0,0.0,1779776315.5075686,Gaming,Gaming,-1
35.82.215.9,192.168.1.4,443,6021,TCP,22,2294,104.27272727272727,54,288,2.050693,0.097652,1e-06,0.42058,1779688534.0065234,YouTube,YouTube,-1
192.168.1.4,192.168.1.1,54960,53,UDP,1,77,77.0,77,77,0.0,0.0,0.0,0.0,1779776341.46067,Gaming,Gaming,-1
139.5.86.198,192.168.1.4,443,8255,TCP,12,8923,743.5833333333334,54,3804,1.510351,0.137305,1e-06,0.997414,1779695897.9886613,Browsing,Browsing,-1
13.204.106.34,192.168.1.4,443,10227,TCP,75,19193,255.90666666666667,54,2554,312.388269,4.221463,0.0,35.290929,1779695776.0675054,Browsing,Browsing,-1
192.168.1.4,69.147.224.24,4908,443,TCP,11,2462,223.8181818181818,54,1304,62.430452,6.243045,0.0,44.952457,1779695897.6131742,Browsing,Browsing,-1
192.168.1.6,239.255.255.250,40422,1900,UDP,1,167,167.0,167,167,0.0,0.0,0.0,0.0,1779688357.0057383,YouTube,YouTube,-1
35.227.252.103,192.168.1.4,443,51372,UDP,22,5140,233.63636363636363,65,1292,6.229545,0.296645,0.0,4.714952,1779776480.039769,Gaming,Gaming,-1
20.42.179.192,192.168.1.4,443,6020,TCP,13,4997,384.38461538461536,54,1304,2.042048,0.170171,1e-06,0.516049,1779688530.7245848,YouTube,YouTube,-1
192.168.1.4,192.168.1.1,5987,53,TCP,3,198,66.0,66,66,3.025668,1.512834,1.011549,2.014118,1779695804.3118074,Browsing,Browsing,-1
192.168.1.4,23.61.247.139,7628,80,TCP,6,490,81.66666666666667,54,208,0.429952,0.08599,1.7e-05,0.303931,1779690881.7580435,meet,meet,-1
74.121.143.245,192.168.1.4,443,4834,TCP,10,4267,426.7,54,1304,60.679622,6.74218,1e-06,45.278345,1779695820.2752402,Browsing,Browsing,-1
192.168.1.1,192.168.1.4,53,63733,UDP,1,138,138.0,138,138,0.0,0.0,0.0,0.0,1779776284.5173848,Gaming,Gaming,-1
192.168.1.4,3.111.241.224,1462,443,TCP,38,25578,673.1052631578947,54,1304,77.46431,2.09363,0.0,27.838283,1779776208.7740061,Gaming,Gaming,-1
192.168.1.4,192.168.1.1,55738,53,UDP,1,74,74.0,74,74,0.0,0.0,0.0,0.0,1779776340.9507008,Gaming,Gaming,-1
142.250.82.252,192.168.1.4,19305,12790,TCP,3,174,58.0,54,66,10.395986,5.197993,0.344437,10.051549,1779691048.668204,meet,meet,-1
192.168.1.4,192.168.1.1,8127,53,TCP,3,198,66.0,66,66,3.003114,1.501557,0.999332,2.003781,1779695810.843632,Browsing,Browsing,-1
192.168.1.1,192.168.1.4,53,54771,UDP,1,162,162.0,162,162,0.0,0.0,0.0,0.0,1779776345.2966487,Gaming,Gaming,-1
192.168.1.4,23.208.65.107,5893,443,TCP,11,1483,134.8181818181818,54,586,107.480773,10.748077,0.000684,107.000298,1779775725.661987,Download,Download,-1
52.202.154.102,192.168.1.4,443,11042,TCP,11,6636,603.2727272727273,54,2554,31.479176,3.147918,1e-06,30.028402,1779776218.0907872,Gaming,Gaming,-1
220.150.223.50,192.168.1.4,443,5239,TCP,10,4650,465.0,54,1304,0.594359,0.06604,0.0,0.201597,1779695824.5388966,Browsing,Browsing,-1
192.168.1.4,224.0.0.252,61347,5355,UDP,2,146,73.0,73,73,0.412739,0.412739,0.412739,0.412739,1779776463.452123,Gaming,Gaming,-1
192.168.1.4,142.251.10.188,4213,5228,TCP,1,66,66.0,66,66,0.0,0.0,0.0,0.0,1779776544.6021168,Gaming,Gaming,-1
192.168.1.6,239.255.255.250,58377,1900,UDP,1,167,167.0,167,167,0.0,0.0,0.0,0.0,1779695781.1741686,Browsing,Browsing,-1
192.168.1.4,38.134.110.235,10483,443,TCP,5,330,66.0,66,66,15.037347,3.759337,1.006658,8.002231,1779695906.4060593,Browsing,Browsing,-1
192.168.1.4,192.168.1.1,9906,53,TCP,2,132,66.0,66,66,6.004201,6.004201,6.004201,6.004201,1779776415.3818202,Gaming,Gaming,-1
192.168.1.4,192.168.1.1,6006,53,TCP,3,198,66.0,66,66,3.015251,1.507625,1.000155,2.015096,1779775716.5824742,Download,Download,-1
74.121.143.245,192.168.1.4,443,11931,TCP,10,4247,424.7,54,1662,60.638601,6.737622,1e-06,45.294777,1779695845.945164,Browsing,Browsing,-1
192.168.1.4,192.168.1.1,5389,53,TCP,1,66,66.0,66,66,0.0,0.0,0.0,0.0,1779695816.2601721,Browsing,Browsing,-1
192.168.1.4,3.165.239.6,51887,443,UDP,20,5998,299.9,88,1292,0.440536,0.023186,2.9e-05,0.203049,1779775757.2107215,Download,Download,-1
192.168.1.4,192.168.1.1,58067,53,UDP,1,84,84.0,84,84,0.0,0.0,0.0,0.0,1779776246.6963594,Gaming,Gaming,-1
192.168.1.4,20.190.146.35,11225,443,TCP,2,108,54.0,54,54,0.092849,0.092849,0.092849,0.092849,1779698115.6661549,Idle,Idle,-1
192.168.1.1,192.168.1.4,53,57562,UDP,1,199,199.0,199,199,0.0,0.0,0.0,0.0,1779695820.0128434,Browsing,Browsing,-1
192.168.1.4,192.168.1.1,63995,53,UDP,1,83,83.0,83,83,0.0,0.0,0.0,0.0,1779776333.3313198,Gaming,Gaming,-1
192.168.1.4,208.115.232.150,6714,443,TCP,1,66,66.0,66,66,0.0,0.0,0.0,0.0,1779776541.751793,Gaming,Gaming,-1
18.67.161.112,192.168.1.4,443,3268,TCP,7,6469,924.1428571428571,54,5054,0.583449,0.097242,0.0,0.305494,1779776349.273005,Gaming,Gaming,-1
18.161.229.69,192.168.1.4,443,2489,TCP,11,7104,645.8181818181819,54,5054,7.13042,0.713042,0.0,6.315265,1779776347.2560613,Gaming,Gaming,-1
192.168.1.4,192.168.1.1,60676,53,UDP,1,75,75.0,75,75,0.0,0.0,0.0,0.0,1779776339.9248285,Gaming,Gaming,-1
192.168.1.4,207.65.33.83,6099,443,TCP,22,10253,466.04545454545456,54,1304,68.248817,3.249944,0.0,45.00088,1779776217.998948,Gaming,Gaming,-1
192.168.1.4,192.168.1.1,2317,53,TCP,2,132,66.0,66,66,1.010035,1.010035,1.010035,1.010035,1779695814.4039018,Browsing,Browsing,-1
192.168.1.4,224.0.0.252,52144,5355,UDP,2,146,73.0,73,73,0.422611,0.422611,0.422611,0.422611,1779776432.4466536,Gaming,Gaming,-1
192.168.1.1,192.168.1.4,53,56812,UDP,1,167,167.0,167,167,0.0,0.0,0.0,0.0,1779688285.8662612,YouTube,YouTube,-1
192.168.1.4,192.168.1.1,9302,53,TCP,3,198,66.0,66,66,3.013165,1.506583,1.012259,2.000906,1779695812.7011178,Browsing,Browsing,-1
192.168.1.1,192.168.1.4,53,57902,UDP,1,167,167.0,167,167,0.0,0.0,0.0,0.0,1779776335.0174031,Gaming,Gaming,-1
192.168.1.4,32.184.157.243,7645,443,TCP,15,3424,228.26666666666668,54,1304,61.263,4.375929,0.0,45.32299,1779695841.0630698,Browsing,Browsing,-1
23.106.127.37,192.168.1.4,443,3908,TCP,1,66,66.0,66,66,0.0,0.0,0.0,0.0,1779776443.9541216,Gaming,Gaming,-1
192.168.1.4,192.168.1.1,7788,53,TCP,1,66,66.0,66,66,0.0,0.0,0.0,0.0,1779695816.1126912,Browsing,Browsing,-1
192.168.1.4,192.168.1.1,12577,53,TCP,3,198,66.0,66,66,3.007861,1.503931,1.001151,2.00671,1779776399.5722735,Gaming,Gaming,-1
34.36.14.59,192.168.1.4,443,11277,TCP,1,54,54.0,54,54,0.0,0.0,0.0,0.0,1779690719.400381,meet,meet,-1
192.168.1.4,23.215.60.56,8479,80,TCP,7,556,79.42857142857143,54,208,0.117789,0.019631,0.000115,0.048629,1779776265.6982398,Gaming,Gaming,-1
192.168.1.4,192.168.1.1,64259,53,UDP,1,78,78.0,78,78,0.0,0.0,0.0,0.0,1779688229.0477142,YouTube,YouTube,-1
192.168.1.4,23.106.127.162,7316,443,TCP,21,8981,427.6666666666667,54,1304,10.594344,0.529717,0.0,9.948185,1779776215.6429493,Gaming,Gaming,-1
192.168.1.4,192.168.1.1,55557,53,UDP,1,85,85.0,85,85,0.0,0.0,0.0,0.0,1779776340.9532936,Gaming,Gaming,-1
192.168.1.4,70.42.32.127,6963,443,TCP,16,5316,332.25,54,1304,21.545972,1.436398,0.0,9.654488,1779695820.2791812,Browsing,Browsing,-1
192.168.1.4,142.251.221.162,12681,443,TCP,27,8051,298.18518518518516,54,1304,52.570912,2.021958,0.0,51.556813,1779776233.9593375,Gaming,Gaming,-1
23.208.65.107,192.168.1.4,443,13219,TCP,15,10062,670.8,54,1304,107.86024,7.704303,0.0,107.632177,1779775725.2707372,Download,Download,-1
192.168.1.4,172.104.63.99,8579,443,TCP,13,3433,264.0769230769231,54,1304,69.261978,5.771832,0.0,45.012426,1779695824.3431098,Browsing,Browsing,-1
192.168.1.4,192.168.1.1,60605,53,UDP,1,82,82.0,82,82,0.0,0.0,0.0,0.0,1779695816.379476,Browsing,Browsing,-1
74.214.196.131,192.168.1.4,443,9932,TCP,21,12188,580.3809523809524,54,2554,60.916501,3.045825,0.0,45.301442,1779695840.2154408,Browsing,Browsing,-1
192.168.1.4,20.42.179.192,3746,443,TCP,18,8929,496.05555555555554,54,1304,1.76156,0.103621,0.0,0.357651,1779775821.3054285,Download,Download,-1
70.42.32.127,192.168.1.4,443,13189,TCP,9,4526,502.8888888888889,54,2554,18.383184,2.297898,1e-06,11.663245,1779695907.3926992,Browsing,Browsing,-1
192.168.1.4,172.64.153.109,1319,443,TCP,1,66,66.0,66,66,0.0,0.0,0.0,0.0,1779776544.7192001,Gaming,Gaming,-1
192.168.1.4,35.207.140.152,1383,443,TCP,15,3364,224.26666666666668,54,1304,181.824805,12.987486,0.0,45.280744,1779695900.2111218,Browsing,Browsing,-1
192.168.1.4,192.168.1.1,49903,53,UDP,1,89,89.0,89,89,0.0,0.0,0.0,0.0,1779776423.4851186,Gaming,Gaming,-1
192.168.1.4,224.0.0.252,56411,5355,UDP,2,146,73.0,73,73,0.411736,0.411736,0.411736,0.411736,1779776365.142943,Gaming,Gaming,-1
52.20.2.56,192.168.1.4,443,4496,TCP,6,4588,764.6666666666666,54,3804,3.441984,0.688397,1e-06,2.356312,1779776333.6329174,Gaming,Gaming,-1
192.168.1.4,192.168.1.1,61962,53,UDP,1,90,90.0,90,90,0.0,0.0,0.0,0.0,1779776344.1995192,Gaming,Gaming,-1
23.215.60.50,192.168.1.4,80,5599,TCP,6,535,89.16666666666667,54,241,0.710727,0.142145,0.0,0.653499,1779776364.57401,Gaming,Gaming,-1
192.168.1.1,192.168.1.4,53,59384,UDP,1,354,354.0,354,354,0.0,0.0,0.0,0.0,1779698400.368565,Idle,Idle,-1
131.153.206.100,192.168.1.4,443,2024,TCP,8,4000,500.0,54,1304,1.128291,0.161184,1e-06,0.541011,1779776541.194896,Gaming,Gaming,-1
20.210.25.198,192.168.1.4,443,8899,TCP,2,108,54.0,54,54,0.515763,0.515763,0.515763,0.515763,1779776265.061013,Gaming,Gaming,-1
207.65.33.78,192.168.1.4,443,10790,TCP,6,4784,797.3333333333334,54,2554,0.239013,0.047803,0.0,0.121338,1779776215.9644117,Gaming,Gaming,-1
192.168.1.4,192.168.1.1,5906,53,TCP,3,198,66.0,66,66,3.012245,1.506122,1.010669,2.001575,1779695811.318697,Browsing,Browsing,-1
192.168.1.4,204.2.56.70,2314,443,TCP,9,2288,254.22222222222223,54,1304,62.402497,7.800312,0.0,45.297529,1779695907.0192327,Browsing,Browsing,-1
192.168.1.1,192.168.1.4,53,59666,UDP,1,91,91.0,91,91,0.0,0.0,0.0,0.0,1779776330.2271664,Gaming,Gaming,-1
192.168.1.4,139.144.214.95,10164,443,TCP,10,3518,351.8,54,1304,4.859463,0.53994,0.0,3.894141,1779695835.2427492,Browsing,Browsing,-1
192.168.1.4,192.168.1.1,60356,53,UDP,1,72,72.0,72,72,0.0,0.0,0.0,0.0,1779776330.133601,Gaming,Gaming,-1
192.168.1.4,35.168.83.112,10213,443,TCP,10,2345,234.5,54,1304,63.907134,7.100793,0.0,45.008732,1779695816.4791212,Browsing,Browsing,-1
192.168.1.4,18.178.5.3,3576,443,TCP,14,3406,243.28571428571428,54,1304,60.564371,4.658798,0.0,45.256648,1779775757.2705393,Download,Download,-1
192.168.1.1,192.168.1.4,53,61986,UDP,1,105,105.0,105,105,0.0,0.0,0.0,0.0,1779776342.3831263,Gaming,Gaming,-1
192.168.1.1,192.168.1.4,53,64445,UDP,1,229,229.0,229,229,0.0,0.0,0.0,0.0,1779776468.6183798,Gaming,Gaming,-1
192.168.1.4,34.125.80.210,5145,443,TCP,17,3768,221.64705882352942,54,1304,35.804874,2.237805,0.0,29.900523,1779688306.0676186,YouTube,YouTube,-1
192.168.1.4,98.82.158.241,1931,443,TCP,18,6122,340.1111111111111,54,1304,75.34328,4.431958,0.0,44.956004,1779695818.2622862,Browsing,Browsing,-1
192.168.1.1,192.168.1.4,53,56110,UDP,1,125,125.0,125,125,0.0,0.0,0.0,0.0,1779688387.1703787,YouTube,YouTube,-1
192.168.1.4,192.168.1.1,14775,53,TCP,3,198,66.0,66,66,3.008832,1.504416,1.003887,2.004945,1779695810.6241767,Browsing,Browsing,-1
192.168.1.4,103.55.112.33,11546,443,TCP,17,3637,213.94117647058823,54,1304,75.342626,4.708914,0.0,45.168806,1779695897.8791559,Browsing,Browsing,-1
